Number of clicks on similar products;Number of similar products purchased so far;Average rating given to similar products;Gender;Median purchasing price (in rupees);Rating of the product;Brand of the product;Customer review sentiment score (overall);Price of the product;Holiday;Season;Geographical locations;Probability for the product to be recommended to the person
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
